BookId,Author,Title,Category,Language,Words,Added
non-fiction/pg14154.mobi,Edith Birkhead,The Tale of Terror / A Study of the Gothic Romance,non-fiction,en,76079,2013-02-06
non-fiction/pg30513-images.mobi,Alexis de Tocqueville,"De la Démocratie en Amérique, tome premier / et augmentée d'un Avertissement et d'un Examen comparatif / de la Démocratie aux États-Unis et en Suisse",non-fiction,fr,94379,2016-03-14
non-fiction/pg30514-images.mobi,Alexis de Tocqueville,"De la Démocratie en Amérique, tome deuxième",non-fiction,fr,113570,2016-03-14
non-fiction/pg30515-images.mobi,Alexis de Tocqueville,"De la Démocratie en Amérique, tome troisième",non-fiction,fr,59774,2016-03-14
non-fiction/pg30516-images.mobi,Alexis de Tocqueville,"De la Démocratie en Amérique, tome quatrième",non-fiction,fr,75740,2016-03-14
novels/pg13947.mobi,Alexandre Dumas père,"Le vicomte de Bragelonne, Tome I.",novels,fr,174555,2014-07-29
novels/pg13948.mobi,Alexandre Dumas père,"Le vicomte de Bragelonne, Tome II.",novels,fr,166396,2014-07-29
novels/pg13949.mobi,Alexandre Dumas père,"Le vicomte de Bragelonne, Tome III.",novels,fr,155184,2014-07-29
novels/pg13950.mobi,Alexandre Dumas père,"Le vicomte de Bragelonne, Tome IV.",novels,fr,184260,2014-07-29
novels/pg48197-images.mobi,Mrs. Oliphant,"Hester, Volume 1 (of 3) / A Story of Contemporary Life",novels,en,70190,2016-04-29
novels/pg48198-images.mobi,Mrs. Oliphant,"Hester, Volume 2 (of 3) / A Story of Contemporary Life",novels,en,69366,2016-04-29
novels/pg48199-images.mobi,Mrs. Oliphant,"Hester, Volume 3 (of 3) / A Story of Contemporary Life",novels,en,72299,2016-04-29
